,stationid,NAME_station,WHITE HISPANIC,BLACK,ASIAN / PACIFIC ISLANDER,BLACK HISPANIC,WHITE,AMERICAN INDIAN/ALASKAN NATIVE,UNKNOWN
0,1.0,Astor Pl,0.05299247566672036,0.03884120665454797,0.13150325594238246,0.002116937803446927,0.735819968245933,0.0009204077406290987,0.03780574794634023
1,2.0,Canal St,0.041771797028315114,0.043934478753654534,0.39637150066081944,0.009892266410348833,0.44350995234090274,0.0022027313869197804,0.06231727341903961
2,3.0,50th St,0.08255282916634414,0.040328198776995124,0.17303970895580154,0.010294914467064015,0.6081740072761049,0.006618159300255438,0.07899218205743479
3,4.0,Bergen St,0.04620603975535168,0.21019686544342508,0.06608371559633028,0.025611620795107034,0.48509174311926606,0.001194571865443425,0.16561544342507645
4,5.0,Pennsylvania Ave,0.06172124022022602,0.719129030922714,0.009065695243614688,0.03916049178292007,0.0183797656993832,0.0026493355963074887,0.1498944405348346
5,6.0,238th St,0.16246330797340203,0.13316959204456957,0.05169831665967771,0.026957407296471576,0.22931767806865153,0.012879650152758642,0.38351404780446896
6,7.0,Cathedral Pkwy (110th St),0.0626052349609674,0.39905097198836675,0.05495178325424767,0.07062605234960967,0.27114648706566663,0.0015613041481708251,0.14005816623297107
7,8.0,Kingston - Throop Aves,0.012697715289982425,0.7569420035149385,0.023857644991212654,0.0421792618629174,0.09969244288224956,0.0020650263620386644,0.06256590509666081
8,9.0,65th St,0.22994312228708277,0.012198772638826523,0.5003741954797186,0.008868432869330938,0.12037868582547523,0.0,0.12823679089956594
9,10.0,36th St,0.1570917759237187,0.019308700834326578,0.3811680572109654,0.008581644815256258,0.24410011918951133,0.00500595947556615,0.18474374255065554
10,11.0,Delancey St - Essex St,0.08657614781634938,0.05538447181784248,0.3861748786860769,0.011128219484882419,0.31865901455767076,0.0020996640537514,0.13997760358342665
11,12.0,Van Siclen Ave,0.18815160729800173,0.3437228496959166,0.03192875760208514,0.052400086880973064,0.02264335360556038,0.002334926151172893,0.35881841876629017
12,13.0,Norwood Ave,0.40115969469262175,0.28619608307200756,0.07638601266197266,0.06609076386012662,0.03212827643334714,0.0005916809656233359,0.13744748831430093
13,14.0,104th-102nd Sts,0.21180896303565588,0.053974484789008834,0.19654345218623923,0.01810053429287973,0.16295932831752263,0.006269763384581834,0.35034347399411186
14,15.0,DeKalb Ave,0.051418271511241814,0.24181766435822027,0.1507921449577839,0.011668722132624989,0.3857319039939285,0.0016601840432596527,0.1569111090029409
15,16.0,Beach 105th St,0.09395848776871757,0.11174944403261676,0.024091919940696812,0.008710155670867309,0.6362120088954781,0.0,0.12527798369162343
16,17.0,Beach 90th St,0.09978582554517133,0.2683995327102804,0.08041277258566978,0.043419003115264795,0.3862928348909657,0.0,0.12169003115264798
17,18.0,Freeman St,0.09552614006834519,0.3020935621980439,0.012647786637338466,0.0488628775678542,0.013865430692485957,0.008209277662123414,0.5187949251738089
18,19.0,Intervale Ave,0.10777446424856092,0.23964907413828976,0.012864969831472364,0.060995908176711286,0.015569734378250918,0.0017338234274221513,0.5614120257992926
19,20.0,182nd-183rd Sts,0.08779208001967696,0.24901205214396982,0.018299581864392882,0.046585225875215214,0.01429859801590555,0.006739362138230712,0.5772730999426089
20,21.0,174th-175th Sts,0.1028187239788455,0.2867109260717903,0.01760999212332621,0.04143693034769889,0.01760999212332621,0.0034601102734331045,0.5303533250815798
